"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2545","newWindowTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.MultipleWindowsTest","Selenium Test","com.interview.prep.web.MultipleWindowsTest","newWindowTest"
"","1613","draganddropTestByOldActions","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByOldActions"
"","1736","draganddropTestByNewActions","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByNewActions"
"","4193","usernameFailureLoginTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","usernameFailureLoginTest"
"","2577","testAutoCompleteByText","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByText"
"","4521","dropDownTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.DropDownTest","Selenium Test","com.interview.prep.web.DropDownTest","dropDownTest"
"","2387","testTable","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.DynamicTableTest","Selenium Test","com.interview.prep.web.DynamicTableTest","testTable"
"","3421","successFulLoginTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","successFulLoginTest"
"","1399","testAutoCompleteByTextContains","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByTextContains"
"","4143","subscribeFrameTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.IFrameTest","Selenium Test","com.interview.prep.web.IFrameTest","subscribeFrameTest"
"","10864","slowTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.SlowTest","Selenium Test","com.interview.prep.web.SlowTest","slowTest"
"","5911","passwordFailureLoginTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","passwordFailureLoginTest"
"","3664","locatorsTest","interview-prep-suite","2026-08-02","passed","2026-08-02","com.interview.prep.web.LocatorsTest","Selenium Test","com.interview.prep.web.LocatorsTest","locatorsTest"
