"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3400","successFulLoginTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","successFulLoginTest"
"","3482","testFileUploadFailure","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testFileUploadFailure"
"","10734","slowTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.SlowTest","Selenium Test","com.interview.prep.web.SlowTest","slowTest"
"","2822","usernameFailureLoginTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","usernameFailureLoginTest"
"","2522","testAutoCompleteByTextContains","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByTextContains"
"","2990","draganddropTestByNewActions","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByNewActions"
"","2935","testUploadSuccess","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testUploadSuccess"
"","1694","testFormDefault","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormDefault"
"","3453","subscribeFrameTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.IFrameTest","Selenium Test","com.interview.prep.web.IFrameTest","subscribeFrameTest"
"","1657","testFormSuccess","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormSuccess"
"","2893","testTable","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.DynamicTableTest","Selenium Test","com.interview.prep.web.DynamicTableTest","testTable"
"","2207","newWindowTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.MultipleWindowsTest","Selenium Test","com.interview.prep.web.MultipleWindowsTest","newWindowTest"
"","1964","testFormFailure","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormFailure"
"","2080","testNoFileUpload","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testNoFileUpload"
"","3928","testAutoCompleteByText","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByText"
"","1902","draganddropTestByOldActions","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByOldActions"
"","3079","dropDownTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.DropDownTest","Selenium Test","com.interview.prep.web.DropDownTest","dropDownTest"
"","3340","locatorsTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.LocatorsTest","Selenium Test","com.interview.prep.web.LocatorsTest","locatorsTest"
"","5766","passwordFailureLoginTest","interview-prep-suite","2026-08-10","passed","2026-08-10","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","passwordFailureLoginTest"
